Capitol Trades - Summary by Politician,,,,,,
Politician,Party,State,Total Trades,Buys,Sells,Most Traded Issuer
Markwayne Mullin,Republican,OK,88,57,31,The Goldman Sachs Group Inc
Dave McCormick,Republican,PA,24,17,7,BITWISE BITCOIN ETF
Katie Britt,Republican,AL,20,15,5,NVIDIA Corporation
Richard Blumenthal,Democrat,CT,18,5,13,MH BUILT TO LAST LLC
Sheldon Whitehouse,Democrat,RI,17,3,14,NVIDIA Corporation
John Boozman,Republican,AR,16,8,8,SUPER MICRO COMPUTER INC
Ashley Moody,Republican,FL,14,14,0,Howmet Aerospace Inc
Tommy Tuberville,Republican,AL,12,3,9,Apple Inc
Angus King,Other,ME,9,8,1,Honeywell International Inc
John Fetterman,Democrat,PA,9,7,2,ARES CAPITAL CORPORATION
John Hickenlooper,Democrat,CO,9,3,6,Formula One Group - The Liberty Media Group
Shelley Moore Capito,Republican,WV,7,1,6,Microsoft Corp
Rick Scott,Republican,FL,7,7,0,OKLAHOMA WATER RESOURCES BOARD
Mitch McConnell,Republican,KY,6,4,2,Wells Fargo & Co
Lindsey Graham,Republican,SC,5,3,2,US TREASURY BILLS
Gary Peters,Democrat,MI,4,2,2,Intel Corp
Jerry Moran,Republican,KS,4,3,1,Alphabet Inc
Bernie Moreno,Republican,OH,3,2,1,BOFA FINANCE LLC
Tina Smith,Democrat,MN,3,0,3,Huntington Bancshares Inc
Ron Wyden,Democrat,OR,3,1,2,Eli Lilly and Co
Cynthia Lummis,Republican,WY,3,3,0,LUMMIS LIVESTOCK COMPANY LLC
Jim Banks,Republican,IN,3,1,2,Starbucks Corp
Mark Warner,Democrat,VA,2,0,2,WEST DEPTFORD ENERGY HOLDINGS LLC
Marco Rubio,Republican,FL,2,0,2,Cisco Systems Inc
Ted Cruz,Republican,TX,1,0,1,The Goldman Sachs Group Inc
Adam Schiff,Democrat,CA,1,0,1,Apple Inc
James Justice II,Republican,WV,1,0,1,PEOPLES BANCORP INC/DE
Susan Collins,Republican,ME,1,1,0,MAINE MUNICIPAL BOND BANK
John Neely Kennedy,Republican,LA,1,1,0,Annaly Capital Management Inc
Jon Husted,Republican,OH,1,1,0,BOXABL INC
Bill Hagerty,Republican,TN,1,0,1,Aspen Insurance Holdings Ltd